image,shape,mesh-resolution,scaling,max-edge-factor,outer-edge-factor,offset-inner-factor,offset-outer-factor,prior-range-prob,prior-range-lower,prior-sigma-prob,prior-sigma-upper,ssim,mse,mean_residual,sigma
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,1.0,0.1,2.0,0.4121,4057691.065004656,-1.2432717281588634,358.1713685985415
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,1.0,0.1,3.0,0.3692,5253063.25080709,-2.508842059861811,466.6633765110667
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,1.0,0.2,1.0,0.325,7183760.570983017,-15.062678275804426,1403.2080699381406
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,1.0,0.2,2.0,0.3604,5577190.6190608675,-2.9869653844307282,497.26856624391456
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,1.0,0.2,3.0,0.4092,4139155.4937879317,-1.2754959152665932,363.2625080975708
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,2.0,0.1,2.0,0.4169,3868856.89372973,-1.306965497404812,354.3828073948155
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,2.0,0.2,1.0,0.4432,3302712.2221826217,-0.9485875108214559,313.0325578189366
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,2.0,0.2,2.0,0.4054,4015409.0584832644,-1.9185891824618648,392.57771418391695
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,2.0,0.2,3.0,0.436,3513816.408206498,-0.885391402061858,313.87406265205647
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,5.0,0.1,1.0,0.464,2903120.9373129895,-0.7844857545958166,288.8952042642578
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,5.0,0.1,2.0,0.4714,2899061.7166675115,-0.4156547900469852,261.4476658858989
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,5.0,0.1,3.0,0.5712,1623265.106288628,-0.006692907339512786,197.6581471362579
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,5.0,0.2,2.0,0.6651,988669.0649570128,-0.06608581616617065,195.6551693717288
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.1,5.0,0.2,3.0,0.4487,3349197.862083791,-0.6006351569460877,289.9827333498256
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,1.0,0.1,1.0,0.3192,7998659.487780264,-9.616301260003715,932.6155805313263
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,1.0,0.1,2.0,0.3578,5693361.726875605,-3.1081541019133745,505.8412104164034
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,1.0,0.1,3.0,0.4209,3928184.405156127,-0.9685399571935298,334.1103763060915
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,1.0,0.2,1.0,0.3375,6685444.584155978,-5.806965982036778,665.4657649015918
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,1.0,0.2,2.0,0.3665,5323394.580562139,-2.759333927268833,479.8434416053489
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,1.0,0.2,3.0,0.3601,5564837.869249275,-3.1772810748597133,504.6488578749767
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,2.0,0.1,1.0,0.3871,4478275.762203761,-2.6620728052430573,447.28318326872744
combined_cube.fits[0],none,20,log,8,1.2,0.1,1.0,0.2,2.0,0.1,2.0,0.428,3604954.4555872497,-1.1680266180208279,337.1411514796657
